,Iteration,Linf,L2
0,5.0,0.0,0.0
1,10.0,1.5120466947555542,2584.62060546875
2,15.0,1.502955675125122,4782.349609375
3,20.0,1.5041126012802124,8182.98095703125
4,25.0,1.5068426132202148,10925.587890625
5,30.0,1.5013108253479004,14239.3671875
6,35.0,1.5013108253479004,14239.3671875
7,40.0,1.5023283958435059,17673.017578125
8,45.0,1.5023927688598633,24724.37890625
9,50.0,1.4983220100402832,29763.42578125
10,55.0,1.507485270500183,36298.50390625
11,60.0,1.49989914894104,39858.91015625
12,65.0,1.49989914894104,39858.91015625
13,70.0,1.4933545589447021,45881.71484375
14,75.0,1.4907066822052002,51975.7578125
15,80.0,1.4902911186218262,56677.8671875
16,85.0,1.4615339040756226,62496.8671875
17,90.0,1.4387143850326538,73712.546875
